idFrame,name
908,Abandonment
237,Abounding_with
469,Absorb_heat
721,Abundance
404,Abusing
827,Access_scenario
1258,Accident
1488,Accident_description
1220,Accommodation
233,Accompaniment
675,Accomplishment
144,Accoutrements
845,Accuracy
372,Achieving_first
612,Active_substance
113,Activity
152,Activity_abandoned_state
164,Activity_done_state
149,Activity_finish
148,Activity_ongoing
151,Activity_pause
163,Activity_paused_state
154,Activity_prepare
153,Activity_ready_state
557,Activity_resume
134,Activity_start
150,Activity_stop
708,Actually_occurring_entity
191,Addiction
436,Adding_up
720,Adducing
1192,Adjacency
630,Adjusting
711,Adopt_selection
504,Aesthetics
1367,Affirm_or_deny
491,Age
94,Aggregate
857,Aging
741,Agree_or_refuse_to_act
892,Agriculture
843,Aiming
899,Alignment_image_schema
1474,Allergens
704,Alliance
867,Alternatives
1208,Alternativity
458,Amalgamation
657,Amassing
518,Ambient_temperature
696,Ammunition
434,Amounting_to
1184,Animals
917,Annoyance
412,Appeal
1016,Appellations
1427,Appliances
212,Apply_heat
862,Appointing
490,Architectural_part
978,Arithmetic
987,Arithmetic_commutative
980,Arithmetic_non-commutative
1073,Armor
109,Arraignment
481,Arranging
182,Arrest
1224,Arrival
1268,Arrival_at_destination
1266,Arrival_at_lodge
48,Arriving
126,Arson
390,Artifact
1029,Artifact_subpart
760,Artificiality
1033,Artistic_style
981,Assemble
423,Assessing
360,Assistance
1566,Assistive_Technology
203,Asymmetric_reciprocality
1281,Athletes
1282,Athletes_by_position
1341,Athletes_by_sport
358,Atonement
177,Attaching
393,Attack
105,Attempt
1368,Attempting_and_resolving_scenario
1369,Attempt_action_scenario
842,Attempt_distant_interaction_scenario
946,Attempt_means
887,Attempt_obtain_food_scenario
973,Attempt_obtain_mineral_scenario
80,Attempt_suasion
907,Attending
1366,Attend_event
459,Attention
279,Attention_getting
1141,Attitude_description
1223,Attracting_tourists
1240,Attraction_tourism
550,Attributed_information
485,Attributes
1028,Authority
249,Avoiding
14,Awareness
1437,Awareness_change_scenario
1069,Awareness_situation
1070,Awareness_status
110,Bail_decision
1370,Basis_for_attribute
401,Bearing_arms
929,Beat_opponent
1435,Becoming
280,Becoming_attached
15,Becoming_aware
788,Becoming_a_member
1473,Becoming_a_patient
641,Becoming_detached
906,Becoming_dry
825,Becoming_separated
1371,Becoming_silent
1061,Becoming_visible
378,Behind_the_scenes
685,Being_active
281,Being_attached
691,Being_at_risk
767,Being_awake
461,Being_born
1372,Being_contained_within
643,Being_detached
310,Being_dry
257,Being_employed
1490,Being_hurt
1115,Being_incarcerated
817,Being_included
1114,Being_in_captivity
815,Being_in_category
807,Being_in_control
668,Being_in_effect
475,Being_in_operation
483,Being_located
205,Being_named
558,Being_necessary
361,Being_obligated
564,Being_obligatory
586,Being_operational
1205,Being_pregnant
1373,Being_questionable
1042,Being_relevant
318,Being_rotted
649,Being_up_to_it
304,Being_wet
813,Besieging
328,Beyond_compare
634,Be_in_agreement_on_action
665,Be_in_agreement_on_assessment
1151,Be_on_alert
814,Be_subset_of
755,Be_translation_equivalent
1374,Billing
173,Biological_area
1135,Biological_classification
1050,Biological_entity
