idFrame,name
827,Access_scenario
1368,Attempting_and_resolving_scenario
1369,Attempt_action_scenario
842,Attempt_distant_interaction_scenario
887,Attempt_obtain_food_scenario
973,Attempt_obtain_mineral_scenario
1437,Awareness_change_scenario
1165,Birth_scenario
195,Causation_scenario
602,Change_of_phase_scenario
76,Commerce_scenario
1194,Conditional_scenario
1380,Containment_scenario
445,Crime_scenario
934,Cycle_of_existence_scenario
1078,Deception_scenario
944,Delimited_state_scenario
1175,Disaster_scenario
1438,Distance_scenario
943,Duration_scenario
1382,Dynamic_situation_scenario
521,Employee_scenario
522,Employer_scenario
293,Employment_scenario
1178,Fire_emergency_scenario
1168,Fire_end_scenario
1167,Fire_stopping_scenario
823,Fragmentation_scenario
584,Getting_scenario
583,Giving_scenario
939,History_scenario
889,Hunting_scenario
1389,Identity_scenario
391,Import_export_scenario
816,Inclusion_scenario
1108,Inhibit_motion_scenario
903,Invasion_scenario
777,Knot_creation_scenario
1162,Locative_scenario
856,Lodging_scenario
190,Lose_possession_scenario
773,Measure_scenario
1138,Medical_interaction_scenario
214,Motion_scenario
662,Obligation_scenario
1095,Operate_vehicle_scenario
1006,Placing_scenario
1198,Preferred_alternative_scenario
1131,Product_development_scenario
879,Receive_visitor_scenario
573,Receiving_scenario
812,Removing_scenario
661,Requirement_scenario
975,Response_scenario
1399,Result_of_attempt_scenario
793,Risk_scenario
771,Searching_scenario
1204,Sexual_reproduction_scenario
784,Shooting_scenario
935,Socially_significant_history_scenario
1355,Sports_scenario
1159,Temporary_transfer_scenario
1228,Tourism_scenario
1226,Tourism_scenario_departure
1227,Tourism_scenario_preparation
1225,Tourism_scenario_stay
585,Transfer_scenario
1403,Undergoing_scenario
870,Visiting_scenario
872,Visiting_scenario_arrival
873,Visiting_scenario_departing
874,Visiting_scenario_stay
852,Visitor_scenario
