abaixar
redução
diminuição
"queda d água"
"queda de água"
"área de queda"
quedo
quedar
desvalorização
depressão
ajustar
regular
controlar
diminuir
reduzir
força
"força muscular"
"força militar"
"força motora"
forcar
energia
mecanismo
alavanca
ferramenta
volume
volumar
preço
"rebaixamento de nível consciência"
temperatura
som
abalar
"estado de choque"
"choque elétrico"
"choque hemorrágico"
chocar
impacto
impactar
tremor
instabilidade
"perturbação espiritural"
resistência
oposição
barreira
barreirar
"corrida com obstáculos"
fortaleza
fortalezar
"amplitude de movimento"
"movimento repetitivo"
movimentar
vibração
"pressão baixa"
"pressão alta"
"pressão arterial"
"lesão por pressão"
"pressão sanguínea baixa"
confiança
estrutura
estruturar
"sistema eliminatório"
"sistema nernovo central"
"sistema urinário"
"sistema de informação de agravos de notificação"
"sistema digestivo"
"sistema respiratório"
"sistema nervoso central"
"sistema imunológico"
"carne de porco"
"sistema linfático"
equilíbrio
"departamento de segurança pública"
"secretaria municipal de segurança"
abanar
"ventilação mecânica invasiva"
arrefecimento
agitação
circulação
refrescar
ventilar
resfriar
agitar
arejar
"parada de mãos"
"mão aberta"
"mão inglesa"
"carro de mão"
ventilador
leque
"fogo de artifício"
"arma de fogo"
"perfuração por arma de fogo"
chama
chamar
calor
"ar condicionado"
"ar livre"
"falta de ar"
"no ar"
ardência
"chocolate em pó"
por
po
pô
abandonar
isolamento
desamparo
desamparar
solidão
abandono
descuido
descuidar
desistência
fracasso
fracassar
desilusão
desinteresse
desinteressar
desapontamento
"termo de responsabilidade"
compromisso
dever
obrigação
vínculo
vincular
"casa de férias"
"casa de cultura"
"casa noturna"
"casa de dança"
"dono de casa"
"casa de campo"
"casa da fazenda"
"casa fluvial"
"casa de jogos"
"casa de show"
"jogo em casa"
"jogo fora de casa"
"partida em casa"
"partida fora de casa"
"casa de tatuagem"
"casa de salud"
"casa de vacaciones"
"dueño de casa"
"amo de casa"
"casa de la granja"
"casa rural"
"casa de juegos"
"casa flotante"
casar
projeto
projetar
