HubNode,FrameElements
ClusterHub_25,Abandonment.Agent;Addiction.Addictant;Adducing.Speaker;Adjusting.Agent;Affirm_or_deny.Speaker;Appointing.Selector;Arranging.Agent;Arson.Perpetrator;Attaching.Agent;Attack.Assailant;Attributed_information.Speaker;Being_in_captivity.Agent;Being_incarcerated.Authorities;Besieging.Assailant;Breaking_out_captive.Agent;Bringing.Agent;Burying.Agent;Cache.Possessor;Carry_goods.Distributor;Cause_bodily_experience.Agent;Cause_change.Agent;Cause_change_of_consistency.Agent;Cause_change_of_phase.Agent;Cause_change_of_position_on_a_scale.Agent;Cause_change_of_strength.Agent;Cause_emotion.Agent;Cause_expansion.Agent;Cause_fluidic_motion.Agent;Cause_impact.Agent;Cause_motion.Agent;Cause_proliferation_in_number.Agent;Cause_temperature_change.Agent;Cause_to_amalgamate.Agent;Cause_to_be_dry.Agent;Cause_to_be_included.Agent;Cause_to_be_sharp.Agent;Cause_to_be_wet.Agent;Cause_to_burn.Agent;Cause_to_continue.Agent;Cause_to_end.Agent;Cause_to_experience.Agent;Cause_to_fragment.Agent;Cause_to_make_noise.Agent;Cause_to_make_progress.Agent;Cause_to_move_in_place.Agent;Cause_to_perceive.Agent;Cause_to_resume.Agent;Cause_to_rot.Agent;Cause_to_wake.Agent;Change_accessibility.Agent;Change_event_duration.Agent;Change_event_time.Agent;Change_operational_state.Agent;Change_resistance.Agent;Claim_ownership.Claimant;Closure.Agent;Clothing.Wearer;Clothing_parts.Wearer;Communication.Communicator;Communication_manner.Speaker;Communication_means.Communicator;Communication_noise.Speaker;Complaining.Complainer;Conquering.Conqueror;Container_focused_placing.Agent;Container_focused_removing.Agent;Convey_importance.Speaker;Corroding_caused.Agent;Creating.Creator;Criminal_process.Court;Cure.Healer;Cure.Medication;Cutting.Agent;Damaging.Agent;Defending.Assailant;Destroying.Destroyer;Detaching.Agent;Detaining.Authorities;Detonate_explosive.Agent;Dispersal.Agent;Distributed_abundanced.Theme;Downing.Agent;Dressing.Wearer;Dunking.Agent;Education_teaching.Teacher;Employing.Employer;Emptying.Agent;Encoding.Speaker;Endangering.Agent;Erasing.Agent;Exchange_currency.Money_owner;Expend_resource.Agent;Exporting.Exporter;Expressing_publicly.Communicator;Extradition.Authorities;Filling.Agent;Firing.Employer;Freeing_from_confinement.Agent;Fugitive.Authorities;Gathering_up.Agent;Gesture.Communicator;Grinding.Grinder;Grooming.Agent;Healthcare_service.Healthcare_professional;Hearsay.Speaker;Hiding_objects.Agent;Hiring.Employer;Hit_target.Agent;Holding_off_on.Agent;Immobilization.Agent;Import_export_scenario.Agent;Importing.Importer;Imposing_obligation.Obligator;Imprisonment.Authorities;Indicating.Communicator;Infecting.Infection_cause;Inhibit_motion_scenario.Agent;Inhibit_movement.Agent;Installing.Agent;Intentionally_affect.Agent;Interrupt_process.Actor;Invading.Invader;Invasion_scenario.Invader;Justifying.Agent;Killing.Killer;Limiting.Agent;Making_arrangements.Agent;Manipulate_into_doing.Manipulator;Manipulate_into_shape.Agent;Medical_conditions.Cause;Medical_interaction_scenario.Healthcare_professional;Medical_intervention.Healthcare_professional;Medical_professionals.Professional;Mention.Communicator;Notification_of_charges.Arraign_authority;Objective_influence.Influencing_entity;Offenses.Perpetrator;Operating_a_system.Operator;Operational_testing.Tester;Passing.Agent;Placing.Agent;Placing_scenario.Agent;Political_actions.Activists;Preserving_materials.Agent;Prevarication.Speaker;Prison.Operator;Processing_materials.Agent;Publishing.Publisher;Rape.Perpetrator;Reasoning.Arguer;Reassuring.Speaker;Recording.Agent;Reforming_a_system.Agent;Rejuvenation.Agent;Releasing.Captor;Releasing_from_custody.Authorities;Removing.Agent;Removing_scenario.Agent;Render_nonfunctional.Agent;Renunciation.Speaker;Reparation.Wrongdoer;Repel.Enemy;Replacing.Agent;Reporting.Informer;Request.Speaker;Request_entity.Customer;Rescuing.Agent;Reshaping.Deformer;Resolve_problem.Instrument;Reveal_secret.Speaker;Robbery.Perpetrator;Run_risk.Protagonist;Sentencing.Court;Separating.Agent;Setting_back_burn.Firefighter;Setting_fire.Kindler;Shoot_projectiles.Agent;Shooting_scenario.Agent;Short_selling.Intermediary;Silencing.Agent;Smuggling.Perpetrator;Soaking.Agent;Statement.Speaker;Store.Possessor;Storing.Agent;Studying.Teacher;Successfully_communicate_message.Communicator;Suicide_attack.Assailant;Summarizing.Communicator;Taking.Agent;Taking_captive.Agent;Talking_into.Speaker;Teaching_learning_process.Teacher;Telling.Speaker;Theft.Perpetrator;Transitive_action.Agent;Undressing.Wearer;Use_firearm.Agent;Using.Agent;Volubility.Speaker;Wagering.Gambler;Warning.Speaker
ClusterHub_26,Body_movement.Agent;Facial_expression.Possessor;Making_faces.Agent
ClusterHub_27,Aiming.Agent;Attempt_distant_interaction_scenario.Agent;Ingestion.Ingestor;Manipulation.Agent;frm_eating_event.fe_Ingestor
ClusterHub_28,Abusing.Abuser;Cause_harm.Agent;Corporal_punishment.Agent;Experience_bodily_harm.Injuring_entity;Terrorism.Terrorist;Violence.Aggressor
ClusterHub_29,Accuracy.Agent;Attempt.Agent;Attempt_means.Agent;Attempt_suasion.Speaker;Beat_opponent.Winner;Business_closure.Entity;Change_of_leadership.Selector;Endeavor_failure.Endeavor;Expertise.Protagonist;Finish_competition.Competitor;Hit_or_miss.Agent;Locale_closure.Locale;Personal_success.Person;Reject_leadership.Agent;Result_of_attempt_scenario.Agent;Subjective_influence.Agent;Subjective_influence.Entity;Subjective_influence.Situation;Subversion.Agent;Success_or_failure.Agent;Successful_action.Containing_event;Successful_action.Protagonist;Surviving.Survivor;Thwarting.Protagonist;Win_prize.Competitor;Work.Agent
ClusterHub_30,Activity.Agent;Activity_abandoned_state.Agent;Activity_done_state.Agent;Activity_finish.Agent;Activity_ongoing.Agent;Activity_pause.Agent;Activity_paused_state.Agent;Activity_prepare.Agent;Activity_ready_state.Protagonist;Activity_resume.Agent;Activity_start.Agent;Activity_stop.Agent;Apply_heat.Cook;Be_on_alert.Protagonist;Being_active.Agent;Cooking_creation.Cook;Finish_game.Player;Halt.Theme;Lively_place.Individuals;Means.Agent;Preliminaries.Agent;Retaining.Agent;Standing_by.Protagonist
ClusterHub_31,Abusing.Victim;Accomplishment.Agent;Achieving_first.Cognizer;Activity_learning.Student;Activity_learning.Teacher;Activity_teaching.Teacher;Activity_teaching.Topic;Annoyance.Experiencer;Arithmetic.Term1;Arithmetic_commutative.Term1;Arithmetic_non-commutative.Term_1;Arraignment.Judge;Assemble.Group;Assistance.Benefited_party;Assistance.Helper;Asymmetric_reciprocality.Protagonist_1;Atonement.Agent;Attempt_obtain_food_scenario.Seeker;Attempting_and_resolving_scenario.Agent;Attending.Agent;Attitude_description.Cognizer;Avoiding.Agent;Bail_decision.Judge;Becoming_a_member.New_member;Becoming_visible.Perceiver;Being_employed.Employee;Building.Agent;Bungling.Agent;Cause_benefit_or_detriment.Benefactor;Cause_harm.Victim;Change_posture.Protagonist;Change_tool.Agent;Choosing.Cognizer;Clemency.Executive_authority;Collaboration.Partner_1;Collaboration.Partners;Colonization.Colonists;Commerce_sell.Seller;Commonality.Entity_1;Commutation.Executive_authority;Commutative_process.Term1;Commutative_statement.Term1;Competition.Participant_1;Competition.Participant_2;Competition.Participants;Conduct.Agent;Confronting_problem.Agent;Contacting.Communicator;Contrition.Experiencer;Cotheme.Theme;Course.Teacher;Create_physical_artwork.Creator;Create_representation.Creator;Daring.Agent;Differentiation.Cognizer;Dodging.Dodger;Elusive_goal.Desired_goal;Emotion_directed.Experiencer;Emotion_heat.Experiencer;Emotions.Experiencer;Emotions_by_possibility.Experiencer;Emotions_by_stimulus.Experiencer;Emotions_of_mental_activity.Experiencer;Emotions_success_or_failure.Experiencer;Enforcing.Agent;Entering_of_plea.Judge;Entourage.Attended_person;Evading.Evader;Examination.Examiner;Exchange.Exchanger_1;Execute_plan.Agent;Exercising.Agent;Experience_bodily_harm.Experiencer;Fear.Experiencer;Feeling.Experiencer;Feigning.Agent;Fighting_activity.Combatants;Finish_competition.Competitors;Fleeing.Self_mover;Forgiveness.Evaluee;Forgiveness.Judge;Forming_relationships.Partners;Front_for.Front;Get_a_job.Employee;Getting_up.Protagonist;Give_impression.Perceiver_passive;Giving.Donor;Heralding.Communicator;Hostile_encounter.Sides;Ineffability.Experiencer;Ingest_substance.Ingestor;Intentional_traversing.Self_mover;Intentionally_act.Agent;Intentionally_create.Creator;Intercepting.Interceptor;Just_found_out.Experiencer;Legal_rulings.Authority;Lending.Lender;Lose_possession.Donor;Make_acquaintance.Individual_1;Manufacturing.Producer;Mathematical_relationship.Expression_1;Mental_activity.Sentient_entity;Mental_stimulus_stimulus_focus.Experiencer;Military_operation.Force;Name_conferral.Speaker;Non-commutative_process.Term_1;Non-commutative_statement.Term_1;Offering.Offerer;Others_situation_as_stimulus.Experiencer;Pardon.Authority;Passing_off.Agent;Passing_off.Item;Perception.Perceiver;Perception_active.Perceiver_agentive;Perception_experience.Perceiver_passive;Physical_artworks.Creator;Piracy.Perpetrator;Posing_as.Agent;Post_giving.Donor;Post_lose_possession.Owner;Practice.Agent;Pre_giving.Donor;Pre_transfer.Donor;Punctual_perception.Perceiver;Quitting.Employee;Quitting_a_place.Self_mover;Reason.Agent;Reciprocality.Protagonist_1;Remembering_to_do.Cognizer;Renting_out.Lessee;Residence.Resident;Resolve_problem.Agent;Responsibility.Agent;Rite.Leader;Self_motion.Self_mover;Sensation.Perceiver_passive;Setting_out.Self_mover;Sharing.Protagonist_1;Sports_scenario.Athlete;Stimulate_emotion.Experiencer;Stimulus_focus.Experiencer;Subjective_experience.Cognizer;Subjective_influence.Cognizer;Submitting_documents.Submittor;Supply.Supplier;Supporting.Supported;Supporting.Supporter;Surrendering_possession.Surrenderer;Temporary_stay.Guest;Terrorism.Victim;Toxic_substance.Victim;Translating.Cognizer;Travel.Traveler;Treating_and_mistreating.Agent;Verdict.Judge;Violence.Victim;Visiting.Agent;Visitor_departure.Agent;Waiting.Protagonist;Waver_between_options.Cognizer;Willingness.Cognizer;Working_a_post.Agent
ClusterHub_32,Execution.Executioner;Fining.Speaker;Revenge.Avenger;Rewards_and_punishments.Agent
ClusterHub_33,Avoiding.Undesirable_situation;Dodging.Bad_entity;Elusive_goal.Experiencer;Evading.Pursuer;Eventive_cognizer_affecting.Cognizer;Left_to_do.Agent;Project.Agent;Purpose.Agent
ClusterHub_34,Agree_or_refuse_to_act.Speaker;Communication_response.Speaker;Counterattack.Assailant;Respond_to_proposal.Speaker;Response.Agent;Response_scenario.Agent
ClusterHub_35,Locating.Perceiver;Seeking.Cognizer_agent;Seeking_to_achieve.Agent
ClusterHub_36,Knot_creation.Agent;Knot_creation_scenario.Agent;Rope_manipulation.Agent
ClusterHub_37,Dominate_competitor.Agent;Dominate_situation.Agent;Domination.Agent
ClusterHub_38,Drop_in_on.Visitor;Visit_host.Visitor;Visitor_arrival.Agent;Visitor_scenario.Agent
ClusterHub_39,Alternatives.Agent;Time_period_of_action.Agent
ClusterHub_40,Have_visitor_over.Visitor;Receive_visitor_scenario.Visitor;Visit_host_arrival.Visitor;Visit_host_departure.Visitor;Visit_host_stay.Visitor;Visiting_scenario.Agent;Visiting_scenario_arrival.Agent;Visiting_scenario_departing.Agent;Visiting_scenario_stay.Agent;Visitor_and_host.Visitor
ClusterHub_41,Attempt_obtain_mineral_scenario.Agent;Mining.Miner
ClusterHub_42,Being_questionable.Social_actor;Compliance.Protagonist;Disgraceful_situation.Protagonist;Frugality.Resource_controller;Losing_it.Protagonist;Meet_specifications.Agent;Meet_specifications.Entity;Mental_property.Protagonist;Rashness.Protagonist;Rising_to_a_challenge.Protagonist;Satisfying.Agent;Satisfying.Entity;Social_behavior_evaluation.Individual;Trendiness.Evaluee
ClusterHub_43,Fire_stopping_scenario.Agent;Firefighting.Firefighter;Putting_out_fire.Agent
ClusterHub_44,Scheduling.Agent;Timetable.Cognizer
ClusterHub_45,Aggregate.Aggregate;Alliance.Alliance;Convoy.Convoy;Cotheme.Cotheme;Entourage.Entourage;Fleeing.Cotheme;Intentional_traversing.Cotheme;Organization.Organization;Product_line.Collection;Self_motion.Cotheme;Store.Supply;Team.Team;Temporary_group.Temporary_group
ClusterHub_46,Come_together.Configuration;Encounter.Group;Gathering_up.Aggregate
ClusterHub_47,Agriculture.Agriculturist;Food_gathering.Gatherer;Growing_food.Grower;Planting.Agent
ClusterHub_48,Degree_of_processing.Alterant;Preserving_materials.Medium;Processing_materials.Alterant
