superFE,relation,subFE
5529,precedes,1672
5901,inheritance,418
5901,inheritance,2102
5901,using,10611
6229,inheritance,7918
6229,inheritance,8301
6229,inheritance,10259
6229,see_also,9809
6229,using,4748
6229,using,8317
6372,inheritance,2561
6733,using,6528
6733,using,8078
7533,using,7811
7541,inheritance,7533
7665,perspective_on,2378
7665,perspective_on,2367
7735,inheritance,8000
7744,perspective_on,2812
7744,perspective_on,2825
7744,using,4198
7890,inheritance,7903
7913,inheritance,8495
7913,using,4281
7948,perspective_on,7940
7948,perspective_on,7933
8007,perspective_on,9677
8007,perspective_on,722
8220,inheritance,6372
8268,inheritance,7744
8268,subframe,8283
8268,subframe,8301
8283,precedes,8301
8301,using,4198
8386,inheritance,8195
8386,precedes,8413
8399,inheritance,8528
8399,subframe,8403
8399,subframe,8386
8399,subframe,8413
8403,inheritance,8576
8403,precedes,8386
8513,using,9675
8533,inheritance,8537
8533,perspective_on,8399
8533,subframe,8542
8533,subframe,8552
8533,subframe,8564
8542,inheritance,8403
8542,inheritance,8592
8542,precedes,8564
8552,inheritance,8413
8552,inheritance,8616
8564,inheritance,8386
8564,inheritance,8603
8564,precedes,8552
9042,precedes,6620
9319,inheritance,2367
9368,inheritance,13
9494,inheritance,9664
9515,perspective_on,5901
9525,inheritance,1311
9525,inheritance,9535
9535,inheritance,6340
9677,inheritance,633
9694,perspective_on,9710
9694,perspective_on,701
9710,inheritance,651
9727,inheritance,1255
10498,precedes,2356
10510,subframe,2356
10510,subframe,10498
10510,subframe,3032
11021,subframe,11011
11142,causative_of,11183
11142,using,4525
11153,using,11142
7599,inheritance,8268
7599,inheritance,8677
7599,inheritance,9494
7599,subframe,1294
7599,subframe,6229
7599,subframe,4281
7588,perspective_on,6229
7588,perspective_on,6248
7588,perspective_on,4306
7588,perspective_on,5923
7588,using,1490
1184,inheritance,6525
1184,inheritance,6131
1184,inheritance,10126
1184,inheritance,10148
1184,inheritance,9941
1184,inheritance,11066
1184,inheritance,6883
2474,causative_of,4632
8736,perspective_on,8753
8736,subframe,8767
8736,subframe,8691
2280,using,523
2280,using,511
2280,using,10853
2280,using,13317
2280,metaphorical_projection,4545
4423,inheritance,3251
4423,using,5558
11245,inheritance,11261
11245,perspective_on,11249
10844,inheritance,10849
33,inheritance,2749
33,inheritance,3506
33,inheritance,751
33,inheritance,673
33,inheritance,3338
33,see_also,2289
33,see_also,775
33,see_also,751
33,see_also,4518
33,using,775
33,using,141
33,using,2289
33,using,593
33,using,622
33,using,2629
33,using,715
572,causative_of,33
572,inheritance,4884
572,inheritance,2821
572,inheritance,9118
572,see_also,2289
572,see_also,715
572,subframe,715
572,using,2289
690,using,5948
751,inheritance,593
751,inheritance,3292
2266,perspective_on,33
2266,perspective_on,5948
2266,using,10404
2289,see_also,9118
4884,causative_of,3338
5948,inheritance,7326
5948,subframe,622
7659,perspective_on,4518
7659,perspective_on,775
10404,subframe,775
3975,using,5728
3975,causative_of,5728
4027,inheritance,4091
4027,inheritance,4015
4027,inheritance,1465
4027,inheritance,1621
4027,inheritance,4905
4027,inheritance,1780
4027,inheritance,5057
4027,inheritance,6793
4027,inheritance,6988
4027,inheritance,6394
4027,inheritance,4130
4027,inheritance,2900
4027,inheritance,2885
4027,inheritance,7830
4027,inheritance,10416
4027,inheritance,10423
4027,inheritance,10938
4027,inheritance,2454
4027,inheritance,7457
4027,inheritance,11135
4027,subframe,9866
4027,using,5728
4027,inheritance,13121
4027,using,13226
4027,inheritance,13527
4027,inheritance,13550
4027,inheritance,13581
4027,inheritance,1208
7457,using,7485
9866,inheritance,13580
4059,inheritance,8024
4059,inheritance,8813
4059,inheritance,10461
4059,inheritance,10611
4059,using,5987
3625,see_also,7840
3625,see_also,6748
3625,using,7262
3625,using,9577
6748,inheritance,10785
7262,using,10174
7848,perspective_on,7840
7848,perspective_on,6748
7848,perspective_on,3625
7848,using,11170
11966,inheritance,11758
11966,inheritance,11968
11966,using,12211
11966,using,12347
11966,inheritance,12345
12013,inheritance,12370
12013,inheritance,12389
12013,inheritance,12543
12345,using,12211
12345,using,12347
12361,subframe,2307
12361,subframe,2309
12361,subframe,2308
11563,subframe,12213
11563,precedes,12245
11563,precedes,11402
11561,subframe,12213
11561,precedes,11585
11561,precedes,11400
11562,subframe,12213
11562,precedes,11583
11562,precedes,11401
8839,subframe,8801
8839,subframe,8811
8839,subframe,8848
1395,inheritance,9648
1395,inheritance,9641
11450,precedes,11467
11450,subframe,11505
11450,subframe,11745
11450,subframe,8196
11450,subframe,12044
11492,subframe,11435
11492,subframe,11450
11492,subframe,11465
11492,subframe,11480
11606,perspective_on,11413
11606,perspective_on,11423
11606,perspective_on,12458
1041,inchoative_of,1107
1041,inheritance,6997
1041,inheritance,4746
1113,causative_of,1041
1113,inheritance,8342
3461,using,3454
4418,using,4435
5138,inheritance,5145
7629,inheritance,9277
7629,perspective_on,4938
7629,perspective_on,7627
7629,perspective_on,1220
8342,causative_of,6997
13464,using,13509
13464,using,13503
13464,using,13497
13481,using,2897
13481,using,2890
13726,perspective_on,4935
13726,perspective_on,1220
3847,using,3930
2667,inheritance,5475
2667,using,5226
2667,using,2884
3003,precedes,7711
3003,using,7711
4543,subframe,4217
9185,inheritance,3043
3624,see_also,6750
3624,using,7261
8132,perspective_on,8129
8132,perspective_on,8135
4377,using,6657
293,using,4992
3569,inheritance,1312
3569,inheritance,293
3569,inheritance,3574
3569,inheritance,3580
3569,inheritance,7103
3569,inheritance,6928
3569,inheritance,4363
3569,inheritance,3808
3569,inheritance,1494
3569,inheritance,988
3569,inheritance,8188
3569,inheritance,10827
3569,using,4213
3574,using,4222
3574,using,5307
3580,inheritance,3385
3580,inheritance,908
3580,inheritance,8639
3580,inheritance,4608
3580,using,3609
3637,using,5007
3637,using,9963
5244,using,996
5065,using,5072
3732,inheritance,8646
6517,using,7993
885,using,13172
885,see_also,13172
8480,inheritance,885
158,inheritance,2501
158,inheritance,8295
158,using,2659
520,causative_of,524
520,using,10809
520,metaphorical_projection,6621
846,inheritance,9175
846,using,822
1263,inheritance,2154
1263,using,5571
3689,using,1263
9735,causative_of,822
9735,inheritance,1263
1332,using,1645
1332,using,134
1332,using,158
1332,using,2898
1332,using,3754
1332,using,2276
10269,inheritance,10281
10269,inheritance,10476
10963,perspective_on,10965
10963,perspective_on,10973
8795,inheritance,8861
2257,using,941
2257,using,1894
2257,using,3154
1780,subframe,1876
3548,inheritance,11396
3548,inheritance,11673
970,subframe,1807
970,subframe,6903
970,using,980
970,using,5676
1747,inheritance,7757
1747,using,6812
1747,using,8169
1762,inheritance,7777
1807,subframe,2064
1836,using,8139
2052,inheritance,8138
2052,using,2164
2052,using,8138
2064,perspective_on,1747
2064,perspective_on,1762
2064,using,6848
10497,precedes,2354
3032,inheritance,7711
3032,using,10578
2295,using,10147
1995,subframe,3047
1995,subframe,2871
2871,precedes,3047
9187,inheritance,3047
210,using,4720
210,using,8046
1427,inheritance,10782
1427,using,8238
4720,inheritance,7029
578,inheritance,4879
578,inheritance,2812
578,inheritance,9112
578,see_also,667
578,see_also,719
578,see_also,731
578,see_also,644
578,subframe,719
578,subframe,731
719,inheritance,2539
719,inheritance,10927
719,see_also,731
731,precedes,719
1123,inheritance,8352
1270,using,5573
1270,using,10703
2739,using,11050
2981,causative_of,3172
3196,causative_of,4735
3643,using,9096
3785,causative_of,2993
4400,causative_of,537
4400,using,7919
4879,causative_of,3349
8018,perspective_on,9688
8018,perspective_on,731
9688,inheritance,644
9709,perspective_on,9726
9709,perspective_on,719
9726,inheritance,667
9742,inheritance,1270
10507,precedes,2366
10513,subframe,2366
10513,subframe,10507
1340,subframe,1432
1340,subframe,1438
1432,precedes,1438
2870,precedes,3046
2706,precedes,536
2706,precedes,9055
4701,precedes,9055
4701,precedes,536
3423,using,6936
3423,using,7274
1227,inheritance,8198
1227,using,5411
11758,using,12347
180,inheritance,4997
180,inheritance,258
180,see_also,6285
180,see_also,1532
180,using,5065
180,using,5434
180,using,1211
180,using,1532
180,using,5754
180,using,9387
180,using,9633
191,using,299
208,using,4719
208,using,8044
218,inheritance,4314
218,inheritance,5377
218,using,5489
218,using,5765
218,inheritance,13139
218,inheritance,4434
218,inheritance,6934
218,inheritance,11142
228,inchoative_of,180
228,inheritance,10011
228,using,9998
258,using,4079
280,using,6273
299,inheritance,2682
299,inheritance,5775
299,inheritance,7608
299,inheritance,5489
299,using,10666
1126,causative_of,4281
1126,inheritance,1023
1126,using,1023
1476,using,5034
1532,inheritance,7789
1532,using,4862
3422,using,6911
3422,using,6934
3422,using,7273
3528,inheritance,3422
3528,see_also,3422
3528,inheritance,12173
3528,inheritance,5913
3528,inheritance,6890
5240,using,1126
5240,using,997
5377,inchoative_of,5754
5377,see_also,1235
5754,see_also,5765
5754,see_also,5760
5754,using,5760
5930,using,6486
5930,using,3379
5930,using,10094
5930,using,1077
6148,using,4854
6285,using,5930
6545,using,6567
6955,using,180
6955,using,14
7608,inheritance,5826
7608,inheritance,5839
7616,perspective_on,7608
7616,perspective_on,2561
10132,perspective_on,180
10132,using,10141
13792,perspective_on,5240
13792,perspective_on,7676
13792,perspective_on,7686
13792,perspective_on,50
6473,using,4554
6473,using,7076
6474,using,4555
6475,using,4556
2561,inheritance,8169
2561,using,4217
2561,using,4696
7036,inheritance,7043
7036,using,2492
13,inheritance,382
13,inheritance,6175
13,inheritance,351
13,inheritance,368
13,inheritance,418
13,inheritance,7698
13,perspective_on,9201
13,using,2960
13,using,2775
13,using,345
13,using,452
13,using,2667
13,using,998
13,using,1344
13,using,4373
13,using,2323
13,using,1437
13,using,4271
13,using,2135
13,using,1430
13,using,2790
13,using,361
13,using,4190
13,using,406
13,using,2876
13,using,3043
13,using,6718
13,using,7407
13,using,7180
13,using,432
2115,inheritance,4568
2115,inheritance,7211
2115,using,5800
9201,inheritance,9218
2310,subframe,4755
2310,inheritance,11399
2310,inheritance,11564
4755,perspective_on,9139
4755,using,9139
11399,precedes,11584
4748,perspective_on,9128
4748,using,9128
7950,perspective_on,7941
9128,using,9149
7142,inheritance,7093
7142,using,7098
9865,inheritance,13582
7141,inheritance,7092
4586,inheritance,9078
4586,using,2410
4582,inheritance,9073
4582,inheritance,9946
4582,using,2406
4582,using,11242
4583,inheritance,9074
4583,inheritance,9947
4583,using,2407
4583,using,11244
4632,inchoative_of,1184
4632,inheritance,9546
4632,inheritance,9613
1937,causative_of,2942
1937,using,4015
2942,inchoative_of,2951
11244,inheritance,11260
11244,perspective_on,11247
2258,using,943
2258,using,1895
2258,using,3153
2255,causative_of,4787
2255,see_also,2552
2255,using,2552
3791,using,941
3791,using,2348
2426,using,6989
2421,using,1465
2421,using,6987
181,inheritance,4998
181,inheritance,259
181,see_also,6286
181,see_also,1534
181,using,5066
181,using,5431
181,using,1212
181,using,1534
181,using,5755
181,using,8151
181,using,9632
230,inchoative_of,181
230,inheritance,10013
230,using,9426
490,inheritance,8949
490,inheritance,3552
490,using,3444
490,using,9286
996,using,1025
1025,causative_of,3529
1025,using,1034
1127,causative_of,4282
1127,inheritance,1025
1127,using,1025
1477,using,5035
