albergue.n,qla_subtype_of,acomodação.n
alojamento.n,qla_subtype_of,acomodação.n
apartamento.n,qla_subtype_of,acomodação.n
camping.n,qla_subtype_of,acomodação.n
casa.n,qla_subtype_of,acomodação.n
chalé.n,qla_subtype_of,acomodação.n
complexo de condomínio.n,qla_subtype_of,acomodação.n
complexo residencial.n,qla_subtype_of,acomodação.n
granja.n,qla_subtype_of,acomodação.n
hospedagem domiciliar.n,qla_subtype_of,acomodação.n
hospedagem.n,qla_subtype_of,acomodação.n
hostel.n,qla_subtype_of,acomodação.n
hotel fazenda.n,qla_subtype_of,acomodação.n
hotel.n,qla_subtype_of,acomodação.n
motel.n,qla_subtype_of,acomodação.n
pensão.n,qla_subtype_of,acomodação.n
pousada.n,qla_subtype_of,acomodação.n
resort.n,qla_subtype_of,acomodação.n
bistrô.n,qla_subtype_of,bar.n
botequim.n,qla_subtype_of,bar.n
cafeteria.n,qla_subtype_of,restaurante.n
cervejaria.n,qla_subtype_of,bar.n
choperia.n,qla_subtype_of,bar.n
churrascaria.n,qla_subtype_of,restaurante.n
lanchonete.n,qla_subtype_of,restaurante.n
loja de bebidas alcoólicas.n,qla_subtype_of,loja.n
loja de bebidas.n,qla_subtype_of,loja.n
loja de cervejas.n,qla_subtype_of,loja.n
pizzaria.n,qla_subtype_of,restaurante.n
estádio de futebol.n,qla_subtype_of,estádio.n
ginásio poliesportivo.n,qla_subtype_of,ginásio.n
parque ecológico.n,qla_subtype_of,parque.n
parque municipal.n,qla_subtype_of,parque.n
parque nacional.n,qla_subtype_of,parque.n
universidade particular.n,qla_subtype_of,universidade.n
praça.n,qla_subtype_of,parque.n
quadra de tênis.n,qla_subtype_of,quadra.n
atração turística.n,qla_subtype_of,atração.n
adega.n,qla_subtype_of,bar.n
butique.n,qla_subtype_of,loja.n
comércio de pneu.n,qla_subtype_of,loja.n
concessionária.n,qla_subtype_of,loja.n
confecção.n,qla_subtype_of,loja.n
confeitaria.n,qla_subtype_of,padaria.n
doceria.n,qla_subtype_of,loja.n
entrega de refeições prontas.n,qla_subtype_of,restaurante.n
hamburgueria.n,qla_subtype_of,restaurante.n
joalheria.n,qla_subtype_of,loja.n
livraria.n,qla_subtype_of,loja.n
clinica de reabilitação.n,qla_subtype_of,hospital.n
galeria de arte.n,qla_subtype_of,museu.n
jardim botânico.n,qla_subtype_of,parque.n
maternidade.n,qla_subtype_of,hospital.n
policlínica.n,qla_subtype_of,hospital.n
posto de saúde comunitário.n,qla_subtype_of,hospital.n
secretaria municipal do meio ambiente.n,qla_subtype_of,departamento.n
secretaria municipal de segurança.n,qla_subtype_of,departamento.n
sauna gay.n,qla_subtype_of,sauna.n
sala de concertos.n,qla_subtype_of,salão.n
salão de dança.n,qla_subtype_of,salão.n
salão de festa.n,qla_subtype_of,salão.n
pronto atendimento.n,qla_subtype_of,hospital.n
loja de acessórios de moda.n,qla_subtype_of,loja.n
loja de artigos para cama mesa e banho.n,qla_subtype_of,loja.n
loja de artigos para dança.n,qla_subtype_of,loja.n
loja de artigos para festas.n,qla_subtype_of,loja.n
loja de azulejos.n,qla_subtype_of,loja.n
loja de brinquedos.n,qla_subtype_of,loja.n
loja de calçado.n,qla_subtype_of,loja.n
loja de CDs usados.n,qla_subtype_of,loja.n
